"","sheet","chain","co_owned","state","southj","centralj","northj","pa1","pa2","shore","ncalls","empft","emppt","nmgrs","wage_st","inctime","firstinc","bonus","pctaff","meals","open","hrsopen","psoda","pfry","pentree","nregs","nregs11","type2","status2","date2","ncalls2","empft2","emppt2","nmgrs2","wage_st2","inctime2","firstin2","special2","meals2","open2r","hrsopen2","psoda2","pfry2","pentree2","nregs2","nregs112"
"116","129",3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,0.05,0,0,2,6,16,1.1,1,0.74,6,4,1,1,111392,NA,7,18,4,5.05,52,0.25,0,2,6,16,1.11,1,0.89,4,3
"117","131",3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,0.37,1,10,2,6,17,1.06,1.06,1.06,5,2,2,1,121692,2,8,22,3,5.05,NA,NA,0,2,7,15,1.05,1.11,1.05,5,4
"118","139",4,0,1,0,1,0,0,0,0,0,NA,NA,2,5.5,NA,NA,0,NA,2,10.5,12.5,0.95,0.95,1.06,2,1,1,1,111492,NA,11,25,5,5.5,19,0.25,1,2,11,12,NA,NA,NA,NA,NA
"119","143",4,0,1,0,1,0,0,0,0,3,0,30,3,5.37,26,0.25,1,15,2,10.5,11.5,0.95,0.95,1.06,2,2,2,4,121692,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","144",4,0,1,0,1,0,0,0,0,2,10,30,3,5.05,26,0.15,1,0,2,10.5,12.5,0.91,0.85,1.06,2,2,1,1,111792,1,4,37,3,5.05,26,0.35,1,2,10.5,12.5,0.94,0.94,1.26,2,2
"121","145",1,0,1,0,0,1,0,0,0,0,5,17,3,5,13,0.15,1,0,2,7,16,1.06,0.95,0.95,3,2,1,1,111092,NA,10,8,4,5.28,26,0.13,1,2,7,16,1.05,0.96,0.95,3,2
"122","147",1,0,1,0,0,1,0,0,0,0,8.5,6.5,3,5.12,8,0.25,0,100,2,7,14,1.12,0.89,0.95,2,2,1,1,111892,1,6,0,3,5.25,13,0.38,0,2,7,14,1.13,0.91,0.91,2,2
"123","148",1,0,1,0,0,1,0,0,0,4,4.5,30,4,5.25,26,0.17,1,0,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,NA,7.5,30,4,5.05,26,0.2,1,2,7,17,1.05,0.94,0.94,3,3
"124","151",1,0,1,0,0,1,0,0,0,0,1,12,3,5,12,0.1,0,92,2,7,15,1.09,0.81,1.04,3,3,2,3,123092,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","152",1,0,1,0,0,1,0,0,0,0,35,15,4,5.12,9,0.67,1,10,1,7,15,1.17,0.95,1.02,3,2,1,1,111092,NA,12,13.5,5,5.05,13,0.28,0,2,7,15,1.16,0.94,0.94,3,3
"126","157",2,0,1,0,0,1,0,0,0,0,10,5,3,5,26,0.25,0,0,1,10.5,12,0.91,0.85,2.34,3,3,1,1,111792,2,12,8,2,5.5,26,0.25,0,1,10.5,11,0.95,0.83,2.47,2,2
"127","161",3,1,1,0,0,1,0,0,0,0,8,25,4,5,19,0.15,0,2,2,6,17,1.12,1.02,1.06,7,3,1,1,111992,4,26,12,4,5.05,NA,NA,0,2,6,17,1.11,1.06,1.05,7,5
"128","163",3,1,1,0,0,1,0,0,0,0,12,18,3,5,13,0.15,0,11,2,6,16.5,1.2,1.07,1.06,3,3,1,1,111292,NA,1.5,33,3,5.05,26,0.15,0,2,7,15,NA,NA,NA,NA,NA
"129","164",3,1,1,0,0,1,0,0,0,0,4,30,4,5,26,0.1,0,3,2,5,19,1.12,1.02,1.06,5,3,1,1,111292,NA,5,15,3,5.05,52,0.15,0,2,6,17,1.11,1.06,1.05,5,3
"130","165",4,0,1,0,0,1,0,0,0,1,20,10,3,5,15,0.27,1,60,2,10.5,12.5,1.06,0.89,1.06,3,2,1,1,111792,1,10,17,4,5.05,14,0.13,0,2,10.5,12.5,1.05,0.98,1.05,2,2
"131","169",1,1,1,0,0,1,0,0,0,0,12,33,4,5,13,0.25,0,50,2,7,16,1.1,0.94,1.04,3,3,1,1,111692,NA,20,6,4,5.05,52,0.15,0,2,7,16,1.11,1.05,1.05,3,3
"132","170",1,1,1,0,0,1,0,0,0,1,10,20,3,5,52,0.52,0,0,2,7,16,1.1,1.02,1.08,3,2,1,1,111092,NA,20,20,4,5.05,4,NA,0,1,7,16,1.29,1.11,1.18,4,4
"133","187",3,0,1,0,0,1,0,0,1,0,4,20,3,5.62,26,0.52,0,2,2,7,15,1.12,1.09,1.06,4,3,1,1,111292,NA,5,17.5,3,5.05,13,0.2,0,2,7,15,1.11,1.06,1.05,4,4
"134","190",3,1,1,0,0,1,0,0,0,0,5,42,4,5,26,0.12,1,NA,2,6,16,1.02,1.07,1.06,5,NA,1,1,111292,NA,7,30,4,5.05,26,0.18,0,2,7,15,1.05,1.01,1.74,5,3
"135","196",4,1,1,0,0,1,0,0,0,0,8,19,4,5,26,0.2,0,NA,2,10.5,11.5,0.95,0.85,1.06,2,2,1,1,111392,NA,0,30,3,5.05,26,0.18,0,2,10.5,12.5,1,0.9,2.11,2,2
"136","197",1,0,1,0,0,1,0,0,0,0,23,10,4,5,26,0.25,0,50,2,7,17,0.99,0.89,0.89,3,2,1,1,111792,1,5,21,5,5.05,26,0.13,0,3,7,17,1.05,0.95,0.95,3,1
"137","234",1,0,1,0,0,1,0,0,0,2,0,10,3,5,26,NA,0,0,2,7,16,1.12,NA,0.49,2,2,1,1,111892,2,10,4,3,5.05,26,NA,0,2,7,16,1.04,1.01,0.58,3,2
"138","240",3,1,1,0,0,1,0,0,0,0,15,35,3,5.1,26,0.25,0,20,2,6,17,1.18,1.02,1.06,6,4,1,1,111692,1,15,15,3,5.05,26,0.15,0,2,6,17,1.1,1,1.05,6,4
"139","241",3,0,1,0,0,1,0,0,0,2,15,25,4,5,13,0.37,1,30,2,7,16,1.12,1.02,1.06,5,5,1,1,111192,1,15,NA,4,5.05,26,0.1,0,2,7,16,1.15,1.05,1.05,5,5
"140","242",3,1,1,0,0,1,0,0,0,0,25,10,3,5.25,13,0.25,1,0,2,6,17,1.1,1.02,1.06,5,4,1,1,111192,NA,12,10,3,5.05,8,0.2,1,2,7,16,1.11,1.06,1.05,6,4
"141","245",3,0,1,0,0,1,0,0,0,3,15,8,3,5.5,NA,NA,0,0,1,8.5,13.5,1.2,1.02,1.02,4,2,1,1,111792,3,8,12,4,5.05,26,NA,0,1,8.5,13,1.11,1.11,1.05,5,1
"142","259",1,0,1,1,0,0,0,0,0,0,13,12,4,5,4,0.25,0,50,2,7.5,14.5,1.02,0.85,0.85,3,3,1,1,110992,NA,15,15,4,5.05,NA,NA,0,2,7.5,14.5,1.05,NA,0.84,3,3
"143","268",1,1,1,1,0,0,0,0,0,1,10,18,4,5,26,0.17,1,0,2,7,15,1.02,0.85,0.85,5,4,1,1,110992,NA,0,42.5,2,5.05,26,0.25,1,2,7,15,0.94,0.78,0.84,4,4
"144","271",2,1,1,1,0,0,0,0,0,3,0,13,2,5,13,0.1,0,38,2,11,11,1.02,0.79,2.34,4,2,1,1,111792,1,0,15,3,5.05,8,0.1,0,2,11,12,0.9,0.73,2.28,4,3
"145","272",2,1,1,1,0,0,0,0,0,4,4,11,3,5.05,4,0.2,0,0,1,11,11,0.95,0.74,2.34,4,2,1,1,111492,1,2,14,3,5.25,26,0.2,0,2,11,12,0.94,0.73,2.32,4,3
"146","274",2,1,1,1,0,0,0,0,0,0,0,15,2,5.5,26,0.12,0,27,2,11,10,0.91,0.74,2.34,4,3,1,1,111392,NA,3,7,3,5.05,26,0.2,0,1,11,11,NA,NA,2.32,NA,NA
"147","276",2,1,1,1,0,0,0,0,0,3,5,10,3,5,26,0.25,0,0,2,11,10.5,0.95,0.74,2.19,4,3,1,1,111392,NA,5,15,3,5.05,26,0.28,0,3,11,12,0.95,0.73,2.32,5,3
"148","296",1,1,1,0,0,1,0,0,0,0,5,16,4,5.3,26,0.25,0,50,2,7,16,1.06,0.95,1.01,3,3,1,1,111892,3,4,9,6,5.05,13,NA,0,2,7,16,1.05,0.94,1,3,2
"149","299",2,1,1,0,0,1,0,0,0,0,3,8,2,5,26,NA,0,0,1,10.5,11.5,1.06,0.85,2.34,3,2,1,1,111792,1,6,12,2,5.05,13,0.25,0,1,11,11.5,1.05,0.84,2.32,3,2
"150","301",2,1,1,0,0,1,0,0,0,4,8,12,5,5,11,0.36,1,0,3,11,10.5,1.06,0.85,2.34,3,1,1,1,111492,1,2,7,1,5.05,4,0.5,0,2,11,10.5,0.94,0.84,2.32,3,2
"151","320",2,0,1,1,0,0,0,0,1,0,5,9,2,5,13,0.12,1,0,2,11,12,1.12,0.8,2.45,4,4,1,1,111392,NA,4,6,3,5.05,NA,NA,0,1,11,11,1.05,0.84,2.43,4,3
"152","321",2,0,1,1,0,0,0,0,1,0,3,14,3,5,NA,0.25,0,10,2,10.5,12.5,1.12,0.85,2.45,4,2,1,1,111492,2,4,11,2,5.05,13,0.15,0,1,11,12,1.05,0.84,2.43,4,3
"153","324",3,0,1,1,0,0,0,0,0,2,20,46,5,5.25,26,0.2,0,0,2,0,24,1.18,1.06,NA,5,2,2,1,121892,4,22,39,5,5.05,52,0.25,1,2,0,24,1.22,1.05,1.05,5,2
"154","326",3,1,1,1,0,0,0,0,1,3,18,45,5,5.15,11,0.15,0,7,2,0,24,1.26,0.99,NA,4,3,1,1,111892,1,0,45,4,5.05,NA,NA,0,2,0,24,1.22,NA,1.05,4,2
"155","330",4,0,1,1,0,0,0,0,1,0,4,16,3,5.42,13,0.12,1,0,1,10.5,15.5,1.01,0.86,0.95,2,2,1,1,111392,NA,3,20,3,5.67,52,0.25,0,1,10.5,14.5,0.94,0.79,1.26,2,2
"156","334",1,0,1,1,0,0,0,0,0,0,10,10,3,5,4,0.17,0,0,3,9,12.5,0.91,0.91,0.91,3,3,1,1,110992,NA,0,20,3,5.05,26,0.18,NA,3,9,12.5,0.9,0.9,0.85,3,2
"157","349",3,1,1,1,0,0,0,0,0,1,2.5,27,5,5,6,0.15,0,10,2,6,16,1.12,0.91,0.95,3,3,1,1,111192,NA,0,20,4,5.05,4,0.18,0,2,7,15,1.01,1.01,0.94,3,3
"158","354",4,0,1,1,0,0,0,0,0,3,14,7,3,5.06,4,0.25,1,10,1,10.5,10.5,0.95,0.86,0.95,2,2,1,1,111392,NA,9,7,3,5.05,13,0.23,0,1,10.5,10.5,1,0.85,0.94,2,2
"159","356",4,0,1,1,0,0,0,0,0,3,11.5,10,4,5.05,13,NA,1,0,1,10.5,11.5,0.95,0.8,1.06,2,2,1,1,111492,NA,0,28,4,5.05,17,0.15,1,1,10.5,11.5,1,0.85,1.05,2,2
"160","357",4,0,1,0,0,1,0,0,0,1,4.5,20,3,5,16,0.2,0,100,1,10.5,11.5,0.95,0.86,0.95,2,2,1,1,111392,NA,21,6,3,5.25,13,0.25,0,1,10.5,12.5,1,0.84,2.35,2,2
"161","371",1,0,1,0,0,1,0,0,0,0,12,23,4,5,13,0.15,0,100,2,7,16,1.06,1.02,0.95,3,3,1,1,110792,NA,11,22,5,5.25,26,NA,0,3,7,16,NA,NA,NA,4,2
"162","373",1,1,1,0,0,1,0,0,0,0,14,12,4,5,4,0.25,0,100,2,6.5,15.5,1.01,0.95,1.03,6,3,1,1,110792,NA,18,15,4,5.05,13,0.25,1,2,6.5,15.5,1.1,0.94,1.02,6,5
"163","375",1,0,1,0,0,1,0,0,0,3,25,10,4,5.25,26,0.25,1,0,1,7,15,1.02,0.8,NA,4,2,1,1,111692,1,0,25,4,5.5,26,0.1,1,1,7,15,1.05,0.94,1.01,3,3
"164","378",1,1,1,0,0,1,0,0,0,4,10,8,4,5,52,0.1,0,NA,2,6.5,18.5,1.1,0.96,1.1,5,5,1,1,110792,NA,20,15,4,5.05,52,0.25,1,2,6,19,1.05,0.99,1.03,6,4
"165","381",1,0,1,0,0,1,0,0,0,0,10,20,4,5,13,0.5,1,0,2,6.5,16.5,1.27,1.17,1.1,4,2,1,1,111692,NA,15,15,5,5.05,8,0.47,1,2,6.5,16.5,1.37,1.16,1.16,4,2
"166","403",3,1,1,0,0,1,0,0,0,2,13,31,NA,5.05,26,0.15,0,10,2,6,18,1.09,1.12,1.06,5,4,1,1,111892,3,11,23,3,5.05,13,NA,1,2,7,16,1.11,1.06,1.05,4,4
"167","406",4,1,1,0,0,1,0,0,0,0,12,35,4,5,NA,0.32,0,0,1,10.5,11.5,1.02,NA,2.14,2,2,1,1,111392,NA,17,22,4,5.5,13,NA,NA,1,10.5,12.5,0.84,0.94,1.99,2,2
"168","407",4,1,1,0,0,1,0,0,0,2,5,10,2,5.75,26,0.15,1,0,2,11,10.5,1.17,1.17,1.38,1,1,1,1,111392,NA,8,7,3,5.5,26,0.15,0,2,11,10.5,1.05,1.16,2.32,1,1
"169","409",1,0,1,0,0,1,0,0,0,0,3,60,2,5,39,NA,0,0,1,7,15,1.19,0.87,0.95,3,3,1,1,111792,2,0,15,3,5.05,NA,NA,0,1,7,15,1.09,1.04,1.01,3,3
"170","1",1,0,1,0,1,0,0,0,0,0,16,30,4,4.5,NA,0.25,0,80,3,7,16,0.93,0.83,0.85,4,3,1,1,110592,NA,20,40,4,5.05,NA,NA,0,2,7,16,1.05,0.79,0.9,4,3
"171","2",1,0,1,0,1,0,0,0,0,0,10,6,3,4.75,26,0.5,1,80,1,7,14,1.06,0.91,0.96,2,2,1,1,110592,NA,7.5,10,3,5.25,19,0.38,1,1,7,15,1.05,1.01,0.94,2,2
"172","3",2,0,1,0,1,0,0,0,0,3,6,13,3,4.25,13,0.25,1,50,2,11,10,1.06,0.95,3.09,5,3,1,1,111792,2,4,7,3,5.05,26,0.25,0,1,11,11,1.05,0.94,2.75,5,3
"173","4",3,0,1,0,1,0,0,0,0,0,10,12,3,4.75,4,0.25,0,50,2,9,12.5,1.06,1,2.13,8,4,1,1,110592,NA,5,30,4,5.05,26,0.28,0,2,8,13.5,1.22,1.37,0.89,6,4
"174","5",3,0,1,0,1,0,0,0,0,0,5,30,4,4.5,13,0.17,0,NA,1,6,17,0.95,NA,2.13,5,4,1,1,111892,2,10,30,4,5.15,4,0.18,0,2,6,17,1.05,0.94,0.94,5,5
"175","8",4,0,1,0,1,0,0,0,0,0,NA,25,4,4.8,NA,0.15,0,NA,1,10.5,12,1.02,0.91,2.28,2,1,1,1,110592,NA,15,25,3,5.05,26,0.33,0,2,10,13,1.01,1.01,0.94,2,2
"176","9",1,0,1,0,1,0,0,0,0,2,12,40,4,4.37,26,0.15,0,35,2,7,16,1.04,0.67,0.85,4,4,1,1,110592,NA,0,32,4,5.05,26,0.13,0,2,7,16,1.11,0.92,1.01,4,3
"177","10",1,0,1,0,1,0,0,0,0,0,15,20,4,4.25,39,0.17,0,80,2,7,16,1.04,0.85,0.85,3,3,1,1,110592,NA,15,15,4,5.05,4,0.28,0,2,7,16,0.94,0.87,0.94,3,2
"178","11",1,0,1,0,1,0,0,0,0,2,10,30,4,4.25,26,0.1,0,80,2,7,16,1.09,0.89,0.91,3,3,1,1,111792,1,12,24,3,5.05,NA,NA,0,2,7,16,1.05,0.87,0.94,3,2
"179","12",1,0,1,0,1,0,0,0,0,0,6.5,23.5,3,4.37,9,0.1,0,100,2,7,16,1.05,0.79,0.91,3,3,1,1,111892,3,15,15,4,5.05,26,0.25,0,3,7,16,1.01,0.92,0.94,3,2
"180","13",2,0,1,0,1,0,0,0,0,0,0,25,3,4.5,7,0.25,0,100,2,11,10,1.06,0.95,2.66,5,4,1,1,111792,1,2,11,3,5,13,0.25,0,1,11,11,1.01,0.94,2.75,4,3
"181","15",3,0,1,0,1,0,0,0,0,3,3,25,4,4.6,9,0.15,1,95,2,6,17,1.02,0.98,0.95,5,4,2,1,121092,5,5,20,3,5.05,NA,0.25,0,2,6,17,1.05,1.01,2,3,3
"182","16",3,0,1,0,1,0,0,0,0,0,6,22,4,4.5,13,0.25,0,50,2,6,17,1,1,NA,5,5,1,1,110592,NA,7,17,3,5.05,19,0.25,0,2,6,17,1.05,1.01,0.94,5,5
"183","17",3,0,1,0,1,0,0,0,0,0,0,20,4,4.37,13,0.25,0,60,2,6,17,1.06,1,2.02,6,5,1,1,111692,1,4,35,4,5.05,13,0.2,0,2,6,17,1.05,0.94,0.95,6,5
"184","18",3,0,1,0,1,0,0,0,0,2,15,25,3,4.25,13,NA,0,50,2,6,17,NA,NA,NA,4,4,1,1,110592,NA,8,38,5,5.05,NA,0.25,1,2,6,17,1.05,1,0.63,7,7
"185","19",1,0,1,1,0,0,0,0,0,3,4,31,4,4.25,4,0.25,0,50,2,6,16,1.05,0.91,0.93,3,3,1,1,110592,NA,6,44,5,5.05,52,0.3,0,2,6,16,1.04,0.93,0.95,2,2
"186","21",2,0,1,1,0,0,0,0,0,0,5,12,3,4.45,6,0.1,0,90,2,10.5,10.5,1.06,0.8,2.13,3,3,1,1,111492,1,0,11,2,5.05,NA,NA,0,2,11,10,0.94,0.94,2.43,3,3
"187","22",3,0,1,1,0,0,0,0,0,2,3,15,4,4.35,26,0.12,0,90,2,7,16,1.06,0.84,0.95,4,1,1,1,110592,NA,3,15,2,5.05,19,0.13,0,2,7,15,1.05,1.05,0.94,4,4
"188","23",1,0,1,0,0,1,0,0,0,2,0,25,3,4.5,26,0.12,0,75,2,7,16,1.06,0.95,0.95,3,2,1,1,111792,1,14,14,3,5.05,NA,NA,0,1,6.5,16.5,1.05,0.94,0.94,3,2
"189","24",1,0,1,0,1,0,0,0,0,2,15,15,4,4.75,13,0.25,1,40,2,7,16,1.06,0.95,1.01,4,3,2,1,122192,3,15,20,4,5.05,52,0.15,0,2,NA,NA,1.05,0.94,1,4,3
"190","28",2,0,1,0,0,1,0,0,0,6,0,14,1,4.5,NA,0.25,0,10,2,11,10,1.06,1.17,2.56,2,1,1,1,111892,3,6,2,3,NA,NA,NA,0,1,11,10,NA,1.05,2.64,3,2
"191","29",2,0,1,0,0,1,0,0,0,3,0,7,2,4.5,4,0.25,0,NA,2,11,11,1.06,1.01,2.56,3,2,1,1,111292,NA,0,13,3,5.05,26,0.25,0,1,11,11,1.05,1.05,2.64,3,3
"192","32",3,0,1,0,0,1,0,0,0,0,10,20.5,3,4.5,26,0.25,0,40,2,10.5,11.5,1.12,1.02,1.06,4,3,1,1,111792,1,2,25,3,5.05,26,0.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4
"193","34",3,1,1,0,0,1,0,0,0,0,5,15,3,4.95,26,NA,0,75,2,10.5,11.5,1.12,1.02,1.06,5,3,1,1,111392,NA,11,7,3,5.05,26,0.5,0,2,10.5,11.5,1.22,1.11,0.73,5,2
"194","35",4,0,1,0,0,1,0,0,0,2,25,6.5,4,4.5,9,0.25,1,NA,2,10.5,11.5,0.96,0.95,2.13,2,2,1,1,111992,6,13,18,3,5.05,13,0.25,0,2,10.5,11.5,1.03,NA,NA,2,2
"195","38",1,0,1,0,1,0,0,0,0,0,15,20,5,4.25,17,0.15,0,100,2,6,17,1.05,0.95,0.98,3,2,1,1,111092,NA,10,20,6,5.05,NA,0.25,0,3,6.5,17.5,0.98,0.82,0.76,3,2
"196","63",1,1,1,0,0,1,0,0,0,1,26,6,NA,4.25,26,NA,0,75,2,6,18,1.1,0.97,1.17,4,3,1,1,111792,1,15,10,4,5.05,26,0.1,0,2,7,18,1.11,1.01,1.09,4,3
"197","64",1,0,1,0,0,1,0,0,0,1,20,15,3,4.5,26,0.2,0,60,3,7,16,1.06,0.95,0.95,3,2,1,1,111092,NA,13,13,3,5.05,26,0.25,0,2,7,16,1.05,0.95,0.95,3,3
"198","65",1,0,1,0,0,1,0,0,0,5,0,20,4,4.8,52,0.25,0,90,2,6.5,15.5,1.06,0.85,1.11,3,3,2,2,121592,3,NA,NA,3,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","66",1,0,1,0,0,1,0,0,0,0,15,18,3,4.25,26,0.15,0,20,2,7,17,1.06,0.95,0.95,3,2,1,1,111092,NA,26,10,4,5.05,26,0.25,1,1,7,17,1.05,0.95,0.95,3,3
"200","67",1,0,1,0,0,1,0,0,0,0,5,15,6,4.5,13,0.25,0,55,1,8,13.5,1.17,1.06,1.17,3,2,1,1,111092,NA,4,17.5,5,5.05,NA,NA,0,1,8,13.5,1.32,1.05,1.22,3,3
"201","68",1,0,1,0,0,1,0,0,0,1,30,10,3,4.25,14,0.05,0,NA,3,7,17,1.07,1.02,1.02,3,3,1,1,111092,NA,13,17,3,5.05,13,0.28,0,3,7,17,1.05,0.95,0.95,3,1
"202","69",1,0,1,0,0,1,0,0,0,0,0,27,3,4.25,13,0.22,0,100,2,7,18,1.17,0.95,0.95,4,2,1,1,111792,NA,0,27,3,5.05,13,0.2,0,2,7,18,1.26,1.01,1,4,2
"203","70",1,0,1,0,0,1,0,0,0,0,35,20,5,4.5,13,0.27,0,50,1,7,16,1.06,0.95,1.02,3,3,1,1,111092,NA,10,30,5,5.05,4,0.23,NA,1,7,16,1.05,0.95,1.01,3,3
"204","71",1,0,1,0,0,1,0,0,0,1,0,35,3,4.75,13,0.25,0,100,3,7,17,1.06,0.95,0.95,3,2,1,1,111692,NA,29,14,3,5.05,26,0.18,1,3,7,17,1.05,0.95,0.95,3,2
"205","73",2,0,1,0,0,1,0,0,0,1,0,7,3,4.25,NA,0.75,0,40,3,11,12,1.06,1.06,2.45,3,2,1,1,111792,2,14,0,3,5.05,4,0.05,0,2,11,11,1.05,1.05,2.43,3,NA
"206","75",2,0,1,0,0,1,0,0,0,0,3,15,3,4.25,4,0.25,0,0,2,11,11,1.17,1.27,2.77,3,3,1,1,111292,NA,4,11,3,5.05,6,0.25,1,2,11,11,1.16,1.16,2.75,3,3
"207","76",3,1,1,0,0,1,0,0,0,0,8,32,4,4.25,26,0.2,0,50,2,6,17,1.12,1.02,1.02,6,3,1,1,111392,NA,25,15,6,5.05,13,0.15,1,2,6.5,16.5,1.11,1.06,1.05,6,3
"208","79",3,1,1,0,0,1,0,0,0,4,6,25,3,4.5,26,0.15,0,30,2,6,17,1.17,1.02,1.06,5,4,1,1,111392,NA,8,18,3,5.05,41,0.13,0,2,7,16,1.11,1.06,1.05,5,4
"209","80",4,0,1,0,0,1,0,0,0,1,4.5,20,NA,4.25,26,0.25,0,90,2,10.5,11.5,1.06,0.98,1.06,2,2,1,1,111492,2,11,14,3,5.05,13,0.1,0,2,10.5,12.5,1.12,0.98,0.99,2,1
"210","84",1,0,1,0,1,0,0,0,0,3,4,30,5,4.5,26,0.15,0,50,2,7,16,1.04,0.85,0.91,4,2,1,1,111692,NA,12,30,5,5.05,52,0.2,0,2,7,16,1.05,0.9,0.94,3,3
"211","86",1,0,1,0,1,0,0,0,0,1,11,11,4,4.25,13,0.25,0,NA,3,7,15,1.06,0.94,1.1,3,3,1,1,111092,NA,9,12,4,5.05,4,0.13,0,3,7,15,1.05,1.05,1.04,3,3
"212","87",1,0,1,0,1,0,0,0,1,0,0,15,NA,4.5,26,NA,0,NA,2,7,15,1.06,0.86,1.02,3,3,1,1,111092,NA,0,30,5,5.05,41,0.18,0,3,7,15,1,0.99,1.04,3,3
"213","88",1,0,1,1,0,0,0,0,0,0,3,35,3,4.25,NA,NA,1,75,3,7,15,1.06,0.87,0.91,5,5,2,1,121892,2,4,37,4,5.05,42,0.18,0,2,7,15,1.05,0.87,0.94,5,2
"214","91",1,1,1,0,1,0,0,0,1,2,8,22,4,4.25,8,0.15,0,100,2,7,17,1.09,0.93,1.04,3,3,1,1,111792,1,0,30,4,5.05,26,0.18,0,1,7,17,1.11,1.05,1.05,3,3
"215","92",1,1,1,0,1,0,0,0,1,0,4,18,4,4.25,13,0.75,0,100,2,7,15,1.09,0.95,1.03,3,3,1,1,111092,NA,14,6,3,5.05,NA,0.25,0,2,7,15,1.11,1.01,1.05,3,3
"216","93",1,1,1,0,0,1,0,0,0,0,2.5,30,3,4.25,52,0.15,0,90,2,7,16,NA,NA,0.96,NA,NA,1,1,111092,NA,5,25,5,5.05,13,0.15,0,2,7,16,1.11,1.05,1.05,4,3
"217","95",2,0,1,0,1,0,0,0,0,1,18,3,4,4.25,26,0.27,0,40,1,11,10,1.06,0.8,2.56,4,3,1,1,111292,NA,0,14,3,5.05,13,0.25,0,1,11,10,1.05,0.75,2.53,3,3
"218","96",2,0,1,0,0,1,0,0,0,2,0,15,2,4.25,26,0.12,0,80,2,11.5,10,1.06,1.01,2.66,3,2,1,1,111892,3,0,15,5,5.05,26,0.15,0,2,11.5,10.5,1.05,0.94,2.59,4,0
"219","97",2,0,1,0,1,0,0,0,0,2,0,12,4,4.25,13,0.25,1,58,2,11,10,1.02,0.75,2.56,3,2,1,1,111292,NA,2.5,11,3,5.05,13,0.3,0,2,11,10,1.05,0.8,2.54,3,2
"220","98",2,0,1,0,1,0,0,0,1,0,0,20,4,4.25,13,0.4,0,80,3,11,10,1.06,0.8,2.56,3,3,1,1,111292,NA,3,13,3,5.05,13,0.45,0,1,11,10,1.05,0.9,2.53,3,3
"221","99",3,1,1,0,1,0,0,0,1,0,60,40,5,4.75,26,0.15,0,50,2,0,24,1.23,NA,2.3,8,6,2,1,121892,6,30,50,4,5.05,15,0.25,1,2,0,24,1.22,1.17,2.32,5,2
"222","101",3,0,1,0,1,0,0,0,1,3,4.5,15,3,4.75,26,0.15,0,80,2,7,15,1.2,1.18,1.06,6,4,1,1,111392,NA,10,12,3,5.05,26,0.15,0,2,7,15,1.15,1.1,1.05,8,3
"223","102",3,0,1,1,0,0,0,0,0,2,12,13,3,4.4,52,0.2,0,15,2,7,16,1.06,0.91,1.07,6,4,1,1,111392,NA,0,27,2,5.05,52,0.25,0,2,7,15,1.07,1.01,1.05,5,5
"224","104",4,0,1,0,1,0,0,0,1,0,40,20,3,4.62,4,0.32,1,50,2,10.5,11.5,0.95,0.84,0.94,2,2,1,1,111492,1,11,10,3,5.05,26,0.08,1,2,10.5,12.5,1,0.84,0.94,2,2
"225","105",1,0,1,0,0,1,0,0,0,2,0,40,4,4.25,10,NA,0,50,2,6.5,16.5,0.96,1,1.03,4,2,1,1,111092,NA,0,45,4,5.05,13,0.25,0,2,6.5,16.5,1.05,0.99,1.16,4,3
"226","106",1,0,1,0,0,1,0,0,0,0,0,35,3,4.25,26,0.27,0,65,3,7,16,1.06,0.95,0.95,2,1,1,1,111092,NA,2,25,3,5.05,26,0.2,0,0,7,16,1.05,0.95,0.95,2,2
"227","107",1,1,1,0,0,1,0,0,0,0,6,11,3,4.25,8,0.32,0,40,1,8,14.5,1.17,0.95,0.95,3,3,2,1,123092,9,13.5,10,2,5.05,NA,NA,0,1,8,14,NA,1.01,1,4,2
"228","108",1,0,1,0,0,1,0,0,0,2,13.5,15,4,4.25,26,0.37,1,6,1,7,17,1.27,1.01,1.06,3,3,1,1,111692,NA,11,24,5,5.05,26,0.15,0,1,7,17,1.37,1.02,1.05,3,3
"229","111",3,0,1,0,0,1,0,0,0,0,17,14,3,4.25,2,0.42,0,55,3,7,16,1.17,1.06,1.01,5,5,1,1,111892,1,20,14.5,3,5.05,26,NA,0,2,7,16,1.16,1.16,1,5,4
"230","114",1,0,1,0,1,0,0,0,0,2,0,35,5,4.75,26,0.57,1,50,2,7,16,1.07,0.95,0.95,3,NA,1,1,111792,1,20,40,4,5.25,26,0.25,0,2,6.5,16.5,1.11,0.94,0.94,3,3
"231","115",1,0,1,0,1,0,0,0,0,0,20,25,4,4.75,4,0.3,0,25,1,7,17,1.06,0.95,1.06,4,3,1,1,111092,NA,6,15,4,5.05,NA,NA,NA,1,7,17,1.05,0.95,1.01,4,4
